id,iso_code_A,iso_code_N,name
1,AFG,4,Afghanistan
895,ALA,248,Aland Islands (Finland)
2,ALB,8,Albania
3,DZA,12,Algeria
4,ASM,16,American Samoa (United States)
5,AND,20,Andorra
6,AGO,24,Angola
7,AIA,660,Anguilla (United Kingdom)
8,ATG,28,Antigua and Barbuda
9,ARG,32,Argentina
10,ARM,51,Armenia
11,ABW,533,Aruba
12,AUS,36,Australia
13,AUT,40,Austria
14,AZE,31,Azerbaijan
15,BHS,44,Bahamas
16,BHR,48,Bahrain
17,BGD,50,Bangladesh
18,BRB,52,Barbados
19,BLR,112,Belarus
20,BEL,56,Belgium
21,BLZ,84,Belize
22,BEN,204,Benin
23,BMU,60,Bermuda (United Kingdom)
24,BTN,64,Bhutan
25,BOL,68,Bolivia
887,BES,535,"Bonaire, Saint Eustatius and Saba (Netherlands)"
26,BIH,70,Bosnia and Herzegovina
27,BWA,72,Botswana
28,BRA,76,Brazil
30,VGB,92,British Virgin Islands (United Kingdom)
31,BRN,96,Brunei Darussalam
32,BGR,100,Bulgaria
33,BFA,854,Burkina Faso
34,BDI,108,Burundi
35,KHM,116,Cambodia
36,CMR,120,Cameroon
37,CAN,124,Canada
39,CPV,132,Cape Verde
40,CYM,136,Cayman Islands (United Kingdom)
41,CAF,140,Central African Republic
42,TCD,148,Chad
43,CHL,152,Chile
44,CHN,156,China
47,COL,170,Colombia
48,COM,174,Comoros
239,COD,180,"Congo, Democratic Republic of the"
49,COG,178,"Congo, Republic of"
50,COK,184,Cook Islands (New Zealand)
51,CRI,188,Costa Rica
52,CIV,384,Cote d'Ivoire
53,HRV,191,Croatia
54,CUB,192,Cuba
889,CUW,531,Curaçao
55,CYP,196,Cyprus
56,CZE,203,Czech Republic
57,DNK,208,Denmark
58,DJI,262,Djibouti
59,DMA,212,Dominica
60,DOM,214,Dominican Republic
62,ECU,218,Ecuador
63,EGY,818,Egypt
64,SLV,222,El Salvador
65,GNQ,226,Equatorial Guinea
244,ERI,232,Eritrea
66,EST,233,Estonia
67,ETH,231,Ethiopia
68,FRO,234,Faeroe Islands (Denmark)
69,FLK,238,Falkland Islands (Malvina) (United Kingdom)
70,FJI,242,Fiji
71,FIN,246,Finland
72,FRA,250,France
73,GUF,254,French Guiana (France)
74,PYF,258,French Polynesia (France)
76,GAB,266,Gabon
77,GMB,270,Gambia
78,GEO,268,Georgia
79,DEU,276,Germany
80,GHA,288,Ghana
81,GIB,292,Gibraltar (United Kingdom)
82,GRC,300,Greece
83,GRL,304,Greenland (Denmark)
84,GRD,308,Grenada
85,GLP,312,Guadeloupe (France)
86,GUM,316,Guam (United States)
87,GTM,320,Guatemala
890,GGY,831,Guernsey (United Kingdom)
88,GIN,324,Guinea
89,GNB,624,Guinea-Bissau
90,GUY,328,Guyana
91,HTI,332,Haiti
231,VAT,336,Holy See
93,HND,340,Honduras
94,HKG,344,"Hong Kong, Special Administrative Region of China"
95,HUN,348,Hungary
96,ISL,352,Iceland
97,IND,356,India
98,IDN,360,Indonesia
99,IRN,364,"Iran, Islamic Republic of"
100,IRQ,368,Iraq
101,IRL,372,Ireland
896,IMN,833,Isle of Man (United Kingdom)
102,ISR,376,Israel
103,ITA,380,Italy
104,JAM,388,Jamaica
105,JPN,392,Japan
891,JEY,832,Jersey (United Kingdom)
107,JOR,400,Jordan
109,KAZ,398,Kazakhstan
110,KEN,404,Kenya
111,KIR,296,Kiribati
112,PRK,408,"Korea, Democratic People's Republic of"
113,KOR,410,"Korea, Republic of"
114,KWT,414,Kuwait
115,KGZ,417,Kyrgyzstan
116,LAO,418,Lao People's Democratic Republic
117,LVA,428,Latvia
118,LBN,422,Lebanon
119,LSO,426,Lesotho
120,LBR,430,Liberia
121,LBY,434,Libya
122,LIE,438,Liechtenstein
123,LTU,440,Lithuania
124,LUX,442,Luxembourg
125,MAC,446,"Macao, Special Administrative Region of China"
248,MKD,807,"Macedonia, The former Yugoslav Republic of"
126,MDG,450,Madagascar
127,MWI,454,Malawi
128,MYS,458,Malaysia
129,MDV,462,Maldives
130,MLI,466,Mali
131,MLT,470,Malta
133,MHL,584,Marshall Islands
132,MTQ,474,Martinique (France)
134,MRT,478,Mauritania
135,MUS,480,Mauritius
246,MYT,175,Mayotte (France)
136,MEX,484,Mexico
137,FSM,583,"Micronesia, Federated States of"
139,MDA,498,"Moldova, Republic of"
140,MCO,492,Monaco
141,MNG,496,Mongolia
341,MNE,499,Montenegro
142,MSR,500,Montserrat (United Kingdom)
143,MAR,504,Morocco
144,MOZ,508,Mozambique
145,MMR,104,Myanmar
146,NAM,516,Namibia
147,NRU,520,Nauru
148,NPL,524,Nepal
149,NLD,528,Netherlands
152,NCL,540,New Caledonia (France)
153,NZL,554,New Zealand
154,NIC,558,Nicaragua
155,NER,562,Niger
156,NGA,566,Nigeria
157,NIU,570,Niue (New Zealand)
158,NFK,574,Norfolk Island (Australia)
159,MNP,580,Northern Mariana Islands (United States)
160,NOR,578,Norway
161,OMN,512,Oman
163,PAK,586,Pakistan
164,PLW,585,Palau
249,PSE,275,"Palestinian territory, occupied"
165,PAN,591,Panama
166,PNG,598,Papua New Guinea
167,PRY,600,Paraguay
168,PER,604,Peru
169,PHL,608,Philippines
170,PCN,612,Pitcairn (United Kingdom)
171,POL,616,Poland
172,PRT,620,Portugal
173,PRI,630,Puerto Rico (United States)
174,QAT,634,Qatar
175,REU,638,Reunion (France)
176,ROU,642,Romania
177,RUS,643,Russian Federation
178,RWA,646,Rwanda
892,BLM,652,Saint Barthélemy (France)
197,SHN,654,Saint Helena
198,KNA,659,Saint Kitts and Nevis
179,LCA,662,Saint Lucia
893,MAF,663,Saint Martin (France)
199,SPM,666,Saint Pierre and Miquelon (France)
180,VCT,670,Saint Vincent and the Grenadines
182,WSM,882,Samoa
183,SMR,674,San Marino
184,STP,678,Sao Tome and Principe
185,SAU,682,Saudi Arabia
186,SEN,686,Senegal
340,SRB,688,Serbia
238,SCG,891,Serbia and Montenegro (until 2006-9)
187,SYC,690,Seychelles
188,SLE,694,Sierra Leone
189,SGP,702,Singapore
894,SXM,534,Sint Maarten
190,SVK,703,Slovakia
191,SVN,705,Slovenia
192,SLB,90,Solomon Islands
193,SOM,706,Somalia
194,ZAF,710,South Africa
898,SSD,728,South Sudan
195,ESP,724,Spain
196,LKA,144,Sri Lanka
200,SDN,736,Sudan
201,SUR,740,Suriname
202,SJM,744,Svalbard and Jan Mayen Islands (Norway)
203,SWZ,748,Swaziland
204,SWE,752,Sweden
205,CHE,756,Switzerland
206,SYR,760,Syrian Arab Republic
208,TJK,762,Tajikistan
209,TZA,834,"Tanzania, United Republic of"
210,THA,764,Thailand
61,TLS,626,Timor-Leste
211,TGO,768,Togo
212,TKL,772,Tokelau (New Zealand)
213,TON,776,Tonga
214,TTO,780,Trinidad and Tobago
215,TUN,788,Tunisia
216,TUR,792,Turkey
217,TKM,795,Turkmenistan
218,TCA,796,Turks and Caicos Islands (United Kingdom)
219,TUV,798,Tuvalu
220,UGA,800,Uganda
221,UKR,804,Ukraine
222,ARE,784,United Arab Emirates
223,GBR,826,United Kingdom
224,USA,840,United States
225,VIR,850,United States Virgin Islands (United States)
227,URY,858,Uruguay
229,UZB,860,Uzbekistan
230,VUT,548,Vanuatu
232,VEN,862,Venezuela
233,VNM,704,Viet Nam
235,WLF,876,Wallis and Futuna Islands (France)
236,ESH,732,Western Sahara
237,YEM,887,Yemen
240,ZMB,894,Zambia
241,ZWE,716,Zimbabwe
