"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
206363,551724,"2014-01-15T00:00:00",2014,"Estonia","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206364,27586207,"2014-01-15T00:00:00",2014,"France","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206365,5e+05,"2014-01-15T00:00:00",2014,"Malaysia","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206373,7586207,"2014-01-15T00:00:00",2014,"Spain","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206374,3e+05,"2014-01-15T00:00:00",2014,"Brazil","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206375,1e+05,"2014-01-15T00:00:00",2014,"Romania","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206340,1e+07,"2014-01-15T00:00:00",2014,"Oman","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206626,1700000,"2014-01-15T00:00:00",2014,"United States of America","United Nations Population Fund",16440,1048,"Commitment",0,"SRRP-14/MS/67243/R/1171","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206627,104700000,"2014-01-15T00:00:00",2014,"United States of America","United Nations High Commissioner for Refugees",16440,1048,"Commitment",0,"SRRP-14/MS/67244/R/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206341,50000,"2014-01-15T00:00:00",2014,"Botswana","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206342,2.07e+08,"2014-01-15T00:00:00",2014,"NGO Consortium","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206343,2e+06,"2014-01-15T00:00:00",2014,"India","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206344,16551724,"2014-01-15T00:00:00",2014,"Ireland","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206345,1.2e+08,"2014-01-15T00:00:00",2014,"Japan","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
202633,6201550,"2013-09-27T00:00:00",2014,"United Kingdom ","Save the Children ",16440,1048,"Commitment",0,"SRRP-14/MS/64800/6079","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206358,33821871,"2014-01-15T00:00:00",2014,"Switzerland","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206359,1.1e+08,"2014-01-15T00:00:00",2014,"Germany","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
205745,597920,"2013-12-13T00:00:00",2014,"United Kingdom ","Save the Children ",16440,1048,"Commitment",0,"SRRP-14/MS/64801/6079","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205432,17709233,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64857/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205748,2449691,"2013-12-13T00:00:00",2014,"United Kingdom ","International Rescue Committee",16440,1048,"Commitment",0,"SRRP-14/MS/64746/5179","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
